match,wc,round,grp,md,played_on,home,away,HG,AG,result_raw,host_h,host_a,source
M-2026-052,2026,fase de grupos,Grupo I,2,22/06/2026,Norway,Senegal,3,2,3 : 2,no,No,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I
M-2026-057,2026,GS,group-j,2,06/22/2026,Argentina,Austria,2,s/d,2 x 0,No,0,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J
M-2026-058,2026,group stage,J,2,22-06-26,Jordan,Algeria,1,2,1—2,0,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J
M-2026-063,2026,fase de grupos,K,2,"Jun 23, 2026",Portugal,Uzbekistan,5,0,5-0,FALSE,no,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K
M-2026-064,2026,GS,Grupo K,2,2026-06-23,Colombia,Congo DR,1,0,1–0,no,No,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K
M-2026-069,2026,group stage,group-l,2,23/06/2026,England,Ghana,0,0,0 : 0,No,0,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L
M-2026-070,2026,fase de grupos,L,2,06/23/2026,Panama,Croatia,0,1,0 x 1,0,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L
M-2026-005,2026,GS,A,3,24-06-26,Czechia,México,0,3,0—3,FALSE,si,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A
M-2026-006,2026,group stage,Grupo A,3,"Jun 24, 2026",South Africa,Korea Rep.,1,0,1-0,no,No,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A
M-2026-011,2026,fase de grupos,group-b,3,2026-06-24,Switzerland,Canada,,1,2–1,No,1,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B
M-2026-012,2026,GS,B,3,24/06/2026,Bosnia and Herzegovina,Qatar,3,1,3 : 1,0,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B
M-2026-017,2026,group stage,C,3,06/25/2026,Scotland,Brazil,0,3,0 x 3,FALSE,no,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C
M-2026-018,2026,fase de grupos,Grupo C,3,25-06-26,Morocco,HAITI,4,2,4—2,no,No,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C
M-2026-023,2026,GS,group-d,3,"Jun 25, 2026",Türkiye,united states of america,3,2,3-2,No,1,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D
M-2026-024,2026,group stage,D,3,N/D,Paraguay,Australia,0,0,0–0,0,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D
M-2026-029,2026,fase de grupos,E,3,25/06/2026,Curaçao,Ivory Coast,0,s/d,0 : 2,FALSE,no,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E
M-2026-030,2026,GS,Grupo E,3,06/25/2026,ECUADOR,Deutschland,2,1,2 x 1,no,No,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E
